KYCRSP_FUNDNO;FEXP_RATIO;FMGMT_FEE;FTURN_RATIO;FFEBEGDT;FFEENDDT
2413;0,0055;0,5;0,01;31/12/1999;30/12/2000
2413;0,0055;0,5;0,11;31/12/2000;30/12/2001
2413;0,0056;0,5;0,02;31/12/2001;30/12/2002
2413;0,006;0,5;0,03;31/12/2002;30/12/2003
2413;0,0059;0,5;0,05;31/12/2003;30/12/2004
2413;0,0061;0,5;0,04;31/12/2004;28/01/2005
2697;0,0267;0,622;0,36;30/04/2001;29/04/2002
2697;0,0227;0,456;0,18;30/04/2002;29/04/2003
2697;0,0225;0,331;0,18;30/04/2003;29/04/2004
2697;0,0197;0,045;0,18;30/04/2004;28/05/2004
2698;0,0257;0,548;0,31;30/04/2001;29/04/2002
2698;0,023;0,396;0,31;30/04/2002;29/04/2003
2698;0,0203;0,18;0,16;30/04/2003;29/04/2004
2698;0,0168;-0,244;0,3;30/04/2004;28/05/2004
2773;0,0188;0,751;0,08;31/10/2003;30/10/2004
2773;0,0181;0,752;0,19;31/10/2004;31/10/2005
2775;0,0127;0,352;0,36;30/04/1999;29/04/2000
2775;0,0107;0,599;0,38;30/04/2000;29/04/2001
2775;0,0098;0,591;0,65;30/04/2001;29/04/2002
2775;0,0103;0,743;0,25;30/04/2002;30/10/2002
2775;0,0104;0,611;0,05;31/10/2002;30/10/2003
2775;0,0105;0,545;0,18;31/10/2003;31/03/2004
2776;0,0048;0,392;0,19;30/04/1999;29/04/2000
2776;0,0049;0,399;0,1;30/04/2000;29/04/2001
2776;0,0051;0,398;0,27;30/04/2001;29/04/2002
2776;0,0055;0,389;0,09;30/04/2002;30/10/2002
2776;0,0054;0,361;0,01;31/10/2002;30/10/2003
2776;0,0053;0,42;0,01;31/10/2003;30/10/2004
2776;0,0062;0,46;0,04;31/10/2004;31/03/2005
2797;0,0119;1,047;1,67;31/12/1999;30/12/2000
2797;0,0115;1,016;0,98;31/12/2000;30/10/2001
2797;0,0116;0,99;0,61;31/10/2001;30/08/2002
2799;0,0103;0,971;0,69;31/12/1999;30/12/2000
2799;0,0103;0,968;0,4;31/12/2000;30/10/2001
2799;0,0104;0,945;0,32;31/10/2001;30/08/2002
2911;0,0103;0,582;1,24;31/10/1999;30/10/2000
2911;0,0103;0,586;1,45;31/10/2000;30/10/2001
2911;0,0121;0,624;2,4;31/10/2001;30/10/2002
2911;0,0133;0,637;2,17;31/10/2002;30/10/2003
2911;0,0147;0,644;1,11;31/10/2003;30/10/2004
2911;0,0139;0,636;0,74;31/10/2004;30/10/2005
2911;0,0138;0,634;0,96;31/10/2005;31/03/2006
2932;0,0168;0,856;1,11;31/10/2000;30/10/2001
2932;0,0171;0,734;2,42;31/10/2001;30/10/2002
2932;0,0189;0,849;4,07;31/10/2002;30/10/2003
2932;0,0207;0,848;4,14;31/10/2003;30/10/2004
2932;0,0184;0,824;2,64;31/10/2004;29/07/2005
2933;0,0163;0,8;1,83;31/10/2000;30/10/2001
2933;0,0165;0,8;1,73;31/10/2001;30/10/2002
2933;0,0183;0,799;1,85;31/10/2002;30/10/2003
2933;0,019;0,798;2,11;31/10/2003;30/10/2004
2933;0,0174;0,783;1,67;31/10/2004;30/10/2005
2933;0,0171;0,736;1,14;31/10/2005;28/04/2006
2937;0,0217;0,85;0,9;31/10/2000;30/10/2001
2937;0,0232;0,85;1,43;31/10/2001;30/10/2002
2937;0,0253;0,849;1,89;31/10/2002;30/10/2003
2937;0,0266;0,849;1,52;31/10/2003;30/10/2004
2937;0,0251;0,814;1,28;31/10/2004;29/07/2005
2941;0,0109;0,635;0,75;31/10/1999;30/10/2000
2941;0,0104;0,631;0,79;31/10/2000;30/10/2001
2941;0,0117;0,632;0,89;31/10/2001;30/10/2002
2941;0,0132;0,634;0,68;31/10/2002;30/10/2003
2941;0,013;0,637;0,78;31/10/2003;30/10/2004
2941;0,0129;0,628;1,15;31/10/2004;30/10/2005
2941;0,0135;0,634;1,83;31/10/2005;31/03/2006
2958;0,0119;0,638;0,22;31/10/1999;30/10/2000
2958;0,0119;0,631;0,22;31/10/2000;30/10/2001
2958;0,0128;0,63;0,31;31/10/2001;30/10/2002
2958;0,014;0,636;0,28;31/10/2002;30/10/2003
2958;0,0147;0,64;0,28;31/10/2003;30/10/2004
2958;0,0144;0,631;0,29;31/10/2004;30/10/2005
2958;0,0142;0,633;0,58;31/10/2005;31/03/2006
2976;0,0347;1,555;17,13;31/08/2001;30/08/2002
2976;0,0286;0,991;9,61;31/08/2002;31/10/2003
3120;0,018;-0,583;3,25;31/10/2003;30/10/2004
3120;0,018;0,798;6;31/10/2004;29/07/2005
3265;0,0148;0,45;0,55;31/07/2001;30/07/2002
3265;0,0136;0,51;0,81;31/07/2002;30/07/2003
3265;0,0141;0,342;0,91;31/07/2003;30/07/2004
3265;0,014;0,349;0,95;31/07/2004;30/07/2005
3265;0,0135;0,503;0,87;31/07/2005;31/10/2005
3269;0,0127;0,666;0,22;31/07/1999;30/07/2000
3269;0,0131;0,668;0,67;31/07/2000;30/07/2001
3269;0,0131;0,578;0,54;31/07/2001;30/07/2002
3269;0,013;0,456;0,43;31/07/2002;30/07/2003
3269;0,013;0,241;0,67;31/07/2003;31/10/2003
3274;0,0103;0,567;1,34;31/07/1999;30/07/2000
