KYCRSP_FUNDNO;FRONT_LOAD;FRONT_GROUP_NO;FFLBEGDT;FFLENDDT
2775;0,04;44938;20/03/2000;14/06/2002
2775;0,0325;44938;20/03/2000;14/06/2002
2775;0,025;44938;20/03/2000;14/06/2002
2775;0,0175;44938;20/03/2000;14/06/2002
2775;0,01;44938;20/03/2000;14/06/2002
2775;0;44938;20/03/2000;14/06/2002
2775;0;44939;15/06/2002;31/03/2004
2911;0,055;44963;31/12/2001;31/03/2006
2911;0,0525;44963;31/12/2001;31/03/2006
2911;0,0475;44963;31/12/2001;31/03/2006
2911;0,0375;44963;31/12/2001;31/03/2006
2911;0,03;44963;31/12/2001;31/03/2006
2911;0,02;44963;31/12/2001;31/03/2006
2911;0;44963;31/12/2001;31/03/2006
2932;0,055;44965;31/12/2001;29/07/2005
2932;0,0525;44965;31/12/2001;29/07/2005
2932;0,0475;44965;31/12/2001;29/07/2005
2932;0,0375;44965;31/12/2001;29/07/2005
2932;0,03;44965;31/12/2001;29/07/2005
2932;0,02;44965;31/12/2001;29/07/2005
2932;0;44965;31/12/2001;29/07/2005
2933;0,055;44966;31/12/2001;28/04/2006
2933;0,0525;44966;31/12/2001;28/04/2006
2933;0,0475;44966;31/12/2001;28/04/2006
2933;0,0375;44966;31/12/2001;28/04/2006
2933;0,03;44966;31/12/2001;28/04/2006
2933;0,02;44966;31/12/2001;28/04/2006
2933;0;44966;31/12/2001;28/04/2006
2941;0,055;44969;10/07/1992;30/12/2001
2941;0,0525;44969;10/07/1992;30/12/2001
2941;0,0475;44969;10/07/1992;30/12/2001
2941;0,0375;44969;10/07/1992;30/12/2001
2941;0,03;44969;10/07/1992;30/12/2001
2941;0,02;44969;10/07/1992;30/12/2001
2941;0,01;44969;10/07/1992;30/12/2001
2941;0;44969;10/07/1992;30/12/2001
2941;0,055;44970;31/12/2001;31/03/2006
2941;0,0525;44970;31/12/2001;31/03/2006
2941;0,0475;44970;31/12/2001;31/03/2006
2941;0,0375;44970;31/12/2001;31/03/2006
2941;0,03;44970;31/12/2001;31/03/2006
2941;0,02;44970;31/12/2001;31/03/2006
2941;0;44970;31/12/2001;31/03/2006
2958;0,055;44974;31/12/2001;31/03/2006
2958;0,0525;44974;31/12/2001;31/03/2006
2958;0,0475;44974;31/12/2001;31/03/2006
2958;0,0375;44974;31/12/2001;31/03/2006
2958;0,03;44974;31/12/2001;31/03/2006
2958;0,02;44974;31/12/2001;31/03/2006
2958;0;44974;31/12/2001;31/03/2006
3120;0,055;45022;01/11/2002;29/07/2005
3120;0,0525;45022;01/11/2002;29/07/2005
3120;0,0475;45022;01/11/2002;29/07/2005
3120;0,0375;45022;01/11/2002;29/07/2005
3120;0,03;45022;01/11/2002;29/07/2005
3120;0,02;45022;01/11/2002;29/07/2005
3120;0;45022;01/11/2002;29/07/2005
3302;0,0575;45068;01/06/2000;27/05/2003
3302;0,0475;45068;01/06/2000;27/05/2003
3302;0,0375;45068;01/06/2000;27/05/2003
3302;0,025;45068;01/06/2000;27/05/2003
3302;0,02;45068;01/06/2000;27/05/2003
3302;0;45068;01/06/2000;27/05/2003
3302;0,0575;45069;28/05/2003;30/06/2004
3302;0,0475;45069;28/05/2003;30/06/2004
3302;0,035;45069;28/05/2003;30/06/2004
3302;0,025;45069;28/05/2003;30/06/2004
3302;0,02;45069;28/05/2003;30/06/2004
3302;0;45069;28/05/2003;30/06/2004
3305;0,0575;45070;01/06/2000;27/05/2003
3305;0,0475;45070;01/06/2000;27/05/2003
3305;0,0375;45070;01/06/2000;27/05/2003
3305;0,025;45070;01/06/2000;27/05/2003
3305;0,02;45070;01/06/2000;27/05/2003
3305;0;45070;01/06/2000;27/05/2003
3305;0,0575;45071;28/05/2003;31/03/2006
3305;0,0475;45071;28/05/2003;31/03/2006
3305;0,035;45071;28/05/2003;31/03/2006
3305;0,025;45071;28/05/2003;31/03/2006
3305;0,02;45071;28/05/2003;31/03/2006
3305;0;45071;28/05/2003;31/03/2006
3313;0,0575;45074;01/06/2000;27/05/2003
3313;0,0475;45074;01/06/2000;27/05/2003
3313;0,0375;45074;01/06/2000;27/05/2003
3313;0,025;45074;01/06/2000;27/05/2003
3313;0,02;45074;01/06/2000;27/05/2003
3313;0;45074;01/06/2000;27/05/2003
3313;0,0575;45075;28/05/2003;30/06/2004
3313;0,0475;45075;28/05/2003;30/06/2004
3313;0,035;45075;28/05/2003;30/06/2004
3313;0,025;45075;28/05/2003;30/06/2004
3313;0,02;45075;28/05/2003;30/06/2004
3313;0;45075;28/05/2003;30/06/2004
3317;0,0575;45076;01/06/2000;27/05/2003
3317;0,0475;45076;01/06/2000;27/05/2003
3317;0,0375;45076;01/06/2000;27/05/2003
3317;0,025;45076;01/06/2000;27/05/2003
3317;0,02;45076;01/06/2000;27/05/2003
3317;0;45076;01/06/2000;27/05/2003
3317;0,0575;45077;28/05/2003;31/03/2006
3317;0,0475;45077;28/05/2003;31/03/2006
3317;0,035;45077;28/05/2003;31/03/2006
3317;0,025;45077;28/05/2003;31/03/2006
3317;0,02;45077;28/05/2003;31/03/2006
3317;0;45077;28/05/2003;31/03/2006
3320;0,0575;45078;26/06/2000;27/05/2003
3320;0,0475;45078;26/06/2000;27/05/2003
3320;0,0375;45078;26/06/2000;27/05/2003
3320;0,025;45078;26/06/2000;27/05/2003
3320;0,02;45078;26/06/2000;27/05/2003
3320;0;45078;26/06/2000;27/05/2003
3320;0,0575;45079;28/05/2003;30/06/2004
3320;0,0475;45079;28/05/2003;30/06/2004
3320;0,035;45079;28/05/2003;30/06/2004
3320;0,025;45079;28/05/2003;30/06/2004
3320;0,02;45079;28/05/2003;30/06/2004
3320;0;45079;28/05/2003;30/06/2004
3325;0,0575;45080;26/06/2000;27/05/2003
3325;0,0475;45080;26/06/2000;27/05/2003
3325;0,0375;45080;26/06/2000;27/05/2003
3325;0,025;45080;26/06/2000;27/05/2003
3325;0,02;45080;26/06/2000;27/05/2003
3325;0;45080;26/06/2000;27/05/2003
3325;0,0575;45081;28/05/2003;30/06/2004
3325;0,0475;45081;28/05/2003;30/06/2004
3325;0,035;45081;28/05/2003;30/06/2004
3325;0,025;45081;28/05/2003;30/06/2004
3325;0,02;45081;28/05/2003;30/06/2004
3325;0;45081;28/05/2003;30/06/2004
3337;0,0475;45086;01/06/2000;25/06/2000
3337;0,045;45086;01/06/2000;25/06/2000
3337;0,0375;45086;01/06/2000;25/06/2000
3337;0,025;45086;01/06/2000;25/06/2000
3337;0,02;45086;01/06/2000;25/06/2000
3337;0;45086;01/06/2000;25/06/2000
3337;0,0575;45087;26/06/2000;27/05/2003
3337;0,0475;45087;26/06/2000;27/05/2003
3337;0,0375;45087;26/06/2000;27/05/2003
3337;0,025;45087;26/06/2000;27/05/2003
3337;0,02;45087;26/06/2000;27/05/2003
3337;0;45087;26/06/2000;27/05/2003
3337;0,0575;45088;28/05/2003;31/03/2006
3337;0,0475;45088;28/05/2003;31/03/2006
3337;0,035;45088;28/05/2003;31/03/2006
3337;0,025;45088;28/05/2003;31/03/2006
3337;0,02;45088;28/05/2003;31/03/2006
3337;0;45088;28/05/2003;31/03/2006
3347;0,0575;45091;26/06/2000;27/05/2003
3347;0,0475;45091;26/06/2000;27/05/2003
3347;0,0375;45091;26/06/2000;27/05/2003
3347;0,025;45091;26/06/2000;27/05/2003
3347;0,02;45091;26/06/2000;27/05/2003
3347;0;45091;26/06/2000;27/05/2003
3347;0,0575;45092;28/05/2003;30/06/2004
3347;0,0475;45092;28/05/2003;30/06/2004
3347;0,035;45092;28/05/2003;30/06/2004
3347;0,025;45092;28/05/2003;30/06/2004
3347;0,02;45092;28/05/2003;30/06/2004
3347;0;45092;28/05/2003;30/06/2004
3349;0,0475;45093;31/05/2001;31/05/2007
3349;0,0375;45093;31/05/2001;31/05/2007
3349;0,025;45093;31/05/2001;31/05/2007
3349;0,02;45093;31/05/2001;31/05/2007
3349;0;45093;31/05/2001;31/05/2007
3358;0,0475;45102;01/05/1995;31/05/2007
3358;0,0375;45102;01/05/1995;31/05/2007
3358;0,025;45102;01/05/1995;31/05/2007
3358;0,02;45102;01/05/1995;31/05/2007
3358;0;45102;01/05/1995;31/05/2007
3375;0,0475;45118;29/11/2002;31/05/2007
3375;0,0375;45118;29/11/2002;31/05/2007
3375;0,025;45118;29/11/2002;31/05/2007
3375;0,02;45118;29/11/2002;31/05/2007
3375;0;45118;29/11/2002;31/05/2007
3391;0,0475;45133;29/11/2002;31/03/2008
3391;0,0375;45133;29/11/2002;31/03/2008
3391;0,025;45133;29/11/2002;31/03/2008
3391;0,02;45133;29/11/2002;31/03/2008
3391;0;45133;29/11/2002;31/03/2008
3672;0,055;45221;01/02/1999;31/12/2003
3672;0,045;45221;01/02/1999;31/12/2003
3672;0,035;45221;01/02/1999;31/12/2003
3672;0,025;45221;01/02/1999;31/12/2003
3672;0,02;45221;01/02/1999;31/12/2003
3672;0;45221;01/02/1999;31/12/2003
3681;0,055;45223;01/02/1999;31/12/2003
3681;0,045;45223;01/02/1999;31/12/2003
3681;0,035;45223;01/02/1999;31/12/2003
3681;0,025;45223;01/02/1999;31/12/2003
3681;0,02;45223;01/02/1999;31/12/2003
3681;0;45223;01/02/1999;31/12/2003
3702;0,045;45228;31/03/1994;28/02/2005
3702;0,03;45228;31/03/1994;28/02/2005
3702;0,025;45228;31/03/1994;28/02/2005
3702;0,02;45228;31/03/1994;28/02/2005
3702;0;45228;31/03/1994;28/02/2005
3711;0,045;45230;28/04/2000;30/09/2004
3722;0,055;45238;31/12/2001;28/04/2006
3722;0,0525;45238;31/12/2001;28/04/2006
3722;0,0475;45238;31/12/2001;28/04/2006
3722;0,0375;45238;31/12/2001;28/04/2006
3722;0,03;45238;31/12/2001;28/04/2006
3722;0,02;45238;31/12/2001;28/04/2006
3722;0;45238;31/12/2001;28/04/2006
3784;0,055;45261;31/12/2001;30/03/2007
3784;0,0525;45261;31/12/2001;30/03/2007
3784;0,0475;45261;31/12/2001;30/03/2007
3784;0,0375;45261;31/12/2001;30/03/2007
3784;0,03;45261;31/12/2001;30/03/2007
3784;0,02;45261;31/12/2001;30/03/2007
3784;0;45261;31/12/2001;30/03/2007
3787;0,055;45262;31/12/2001;30/03/2007
3787;0,0525;45262;31/12/2001;30/03/2007
3787;0,0475;45262;31/12/2001;30/03/2007
3787;0,0375;45262;31/12/2001;30/03/2007
3787;0,03;45262;31/12/2001;30/03/2007
3787;0,02;45262;31/12/2001;30/03/2007
3787;0;45262;31/12/2001;30/03/2007
3790;0,055;45263;31/12/2001;30/03/2007
3790;0,0525;45263;31/12/2001;30/03/2007
3790;0,0475;45263;31/12/2001;30/03/2007
3790;0,0375;45263;31/12/2001;30/03/2007
3790;0,03;45263;31/12/2001;30/03/2007
3790;0,02;45263;31/12/2001;30/03/2007
3790;0;45263;31/12/2001;30/03/2007
5296;0,05;45733;01/01/2002;31/12/2005
5296;0,0375;45733;01/01/2002;31/12/2005
5296;0,03;45733;01/01/2002;31/12/2005
5296;0,0225;45733;01/01/2002;31/12/2005
5296;0,0175;45733;01/01/2002;31/12/2005
5296;0,0125;45733;01/01/2002;31/12/2005
5296;0;45733;01/01/2002;31/12/2005
5296;0;45734;01/01/2006;28/02/2007
5297;0,05;45736;17/12/1997;31/12/2001
5297;0,0375;45736;17/12/1997;31/12/2001
5297;0,0275;45736;17/12/1997;31/12/2001
5297;0,02;45736;17/12/1997;31/12/2001
5297;0,0175;45736;17/12/1997;31/12/2001
5297;0;45736;17/12/1997;31/12/2001
5297;0,05;45737;01/01/2002;31/12/2005
5297;0,0375;45737;01/01/2002;31/12/2005
5297;0,03;45737;01/01/2002;31/12/2005
5297;0,0225;45737;01/01/2002;31/12/2005
5297;0,0175;45737;01/01/2002;31/12/2005
5297;0,0125;45737;01/01/2002;31/12/2005
5297;0;45737;01/01/2002;31/12/2005
5297;0;45738;01/01/2006;31/03/2006
5381;0,0475;45793;14/01/1999;12/03/2000
5381;0,04;45793;14/01/1999;12/03/2000
5381;0,0325;45793;14/01/1999;12/03/2000
5381;0,025;45793;14/01/1999;12/03/2000
5381;0,0175;45793;14/01/1999;12/03/2000
5381;0;45793;14/01/1999;12/03/2000
5381;0,045;45794;13/03/2000;30/11/2000
5381;0,04;45794;13/03/2000;30/11/2000
5381;0,03;45794;13/03/2000;30/11/2000
5381;0,02;45794;13/03/2000;30/11/2000
5381;0,01;45794;13/03/2000;30/11/2000
