KYCRSP_FUNDNO;REAR_LOAD;REAR_GROUP_NO;FRLBEGDT;FRLENDDT
2697;0,05;72928;01/07/2000;28/05/2004
2697;0,04;72928;01/07/2000;28/05/2004
2697;0,03;72928;01/07/2000;28/05/2004
2697;0,02;72928;01/07/2000;28/05/2004
2697;0,01;72928;01/07/2000;28/05/2004
2697;0;72928;01/07/2000;28/05/2004
2697;0;72928;01/07/2000;28/05/2004
2698;0,05;72929;01/07/2000;28/05/2004
2698;0,04;72929;01/07/2000;28/05/2004
2698;0,03;72929;01/07/2000;28/05/2004
2698;0,02;72929;01/07/2000;28/05/2004
2698;0,01;72929;01/07/2000;28/05/2004
2698;0;72929;01/07/2000;28/05/2004
2698;0;72929;01/07/2000;28/05/2004
2773;0;72975;01/03/2004;31/10/2005
2773;0,02;72975;01/03/2004;31/10/2005
2773;0;72975;01/03/2004;31/10/2005
2775;0;72978;01/03/2004;31/03/2004
2775;0,02;72978;01/03/2004;31/03/2004
2775;0;72978;01/03/2004;31/03/2004
2776;0;72979;01/03/2004;31/03/2005
2776;0,02;72979;01/03/2004;31/03/2005
2776;0;72979;01/03/2004;31/03/2005
2937;0,05;73068;07/06/1999;29/07/2005
2937;0,04;73068;07/06/1999;29/07/2005
2937;0,03;73068;07/06/1999;29/07/2005
2937;0,02;73068;07/06/1999;29/07/2005
2937;0,01;73068;07/06/1999;29/07/2005
2937;0;73068;07/06/1999;29/07/2005
2937;0;73068;07/06/1999;29/07/2005
2976;0,01;73091;24/08/2000;17/08/2003
2976;0;73091;24/08/2000;17/08/2003
2976;0;73091;24/08/2000;17/08/2003
2976;0,01;73092;18/08/2003;31/10/2003
2976;0;73092;18/08/2003;31/10/2003
2976;0;73092;18/08/2003;31/10/2003
3295;0;73278;25/10/1999;29/03/2001
3295;0,0075;73278;25/10/1999;29/03/2001
3295;0;73278;25/10/1999;29/03/2001
3295;0;73279;30/03/2001;30/06/2004
3295;0,005;73279;30/03/2001;30/06/2004
3295;0;73279;30/03/2001;30/06/2004
3297;0;73282;25/10/1999;29/03/2001
3297;0,0075;73282;25/10/1999;29/03/2001
3297;0;73282;25/10/1999;29/03/2001
3297;0;73283;30/03/2001;29/11/2002
3297;0,005;73283;30/03/2001;29/11/2002
3297;0;73283;30/03/2001;29/11/2002
3303;0;73288;25/10/1999;29/03/2001
3303;0,0075;73288;25/10/1999;29/03/2001
3303;0;73288;25/10/1999;29/03/2001
