KYCRSP_FUNDNO;FSTYBEGDT;FSTYENDDT;LIPPER_OBJ_CD;LIPPER_CLASS
1;31/12/1999;31/07/2000;BBB;BBB
37;31/12/1999;31/03/2000;GUS;GUS
49;31/12/1999;31/08/2000;BBB;BBB
94;31/12/1999;30/11/2000;IUG;IUG
95;31/12/1999;30/11/2000;IUG;IUG
142;31/12/1999;30/11/2000;IUG;IUG
149;31/12/1999;30/06/2000;SUS;SUS
150;31/12/1999;30/06/2000;SUS;SUS
151;31/12/1999;30/06/2000;SUS;SUS
309;31/12/1999;31/10/2000;SUS;SUS
397;31/12/1999;29/09/2000;GUS;GUS
663;31/12/1999;31/08/2000;BBB;BBB
698;31/12/1999;31/01/2000;SIU;SIU
748;31/12/1999;31/01/2000;SIU;SIU
994;31/12/1999;29/09/2000;GUS;GUS
995;31/12/1999;29/09/2000;GUS;GUS
1037;31/12/1999;31/07/2000;GUS;GUS
1056;31/12/1999;31/08/2000;A;A
1066;31/12/1999;31/08/2000;A;A
1112;31/12/1999;29/02/2000;IUG;IUG
1114;31/12/1999;29/02/2000;IUG;IUG
1351;31/12/1999;30/11/2000;IUG;IUG
1382;31/12/1999;30/11/2000;IUG;IUG
1404;31/12/1999;30/11/2000;IUG;IUG
1485;31/12/1999;30/11/2000;GUS;GUS
1540;31/12/1999;31/03/2000;SUT;SUT
1541;31/12/1999;31/03/2000;SUT;SUT
1613;31/12/1999;31/03/2000;GUS;GUS
1614;31/12/1999;31/03/2000;GUS;GUS
1615;31/12/1999;31/03/2000;GUS;GUS
1758;31/12/1999;31/07/2000;IUG;IUG
1799;31/12/1999;30/06/2000;GUT;GUT
1861;31/12/1999;30/11/2000;GUS;GUS
1905;31/12/1999;31/05/2000;IUG;IUG
1927;31/12/1999;31/05/2000;IUG;IUG
1929;31/12/1999;31/05/2000;IUG;IUG
1977;31/12/1999;31/10/2000;SUS;SUS
2043;31/12/1999;30/06/2000;GUT;GUT
2158;31/12/1999;28/04/2000;A;A
2175;31/12/1999;28/04/2000;IUT;IUT
2188;31/12/1999;31/10/2000;BBB;BBB
2216;31/12/1999;31/05/2000;IUG;IUG
2220;31/12/1999;31/05/2000;A;A
2284;31/12/1999;28/04/2000;A;A
2298;31/12/1999;28/04/2000;GUS;GUS
2399;31/12/1999;28/04/2000;IUT;IUT
2418;31/12/1999;31/10/2000;GUS;GUS
2420;31/12/1999;30/12/2001;GUS;GUS
2420;31/12/2001;29/06/2002;A;A
2420;30/06/2002;30/04/2012;IID;IID
2420;01/05/2012;31/05/2012;IID;IID
2420;01/06/2012;11/06/2012;IID;IID
2420;12/06/2012;30/06/2012;IID;IID
2420;31/12/1999;30/12/2001;GUS;GUS
2420;31/12/2001;29/06/2002;A;A
2420;30/06/2002;30/04/2012;IID;IID
2420;01/05/2012;31/05/2012;IID;IID
2420;01/06/2012;11/06/2012;IID;IID
2420;12/06/2012;30/06/2012;IID;IID
2703;30/06/2007;30/12/2007;BBB;BBB
2703;31/12/2007;30/03/2008;IID;IID
2703;31/03/2008;31/10/2010;IID;IID
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2736;31/12/2002;30/12/2003;BBB;BBB
2736;31/12/2003;30/12/2004;BBB;BBB
2736;31/12/2004;29/06/2005;BBB;BBB
2736;30/06/2005;30/12/2006;BBB;BBB
2736;31/12/2006;30/04/2012;A;A
2736;01/05/2012;31/05/2012;A;A
2736;01/06/2012;30/06/2012;A;A
2870;31/12/1999;31/10/2003;BBB;BBB
2871;30/06/2002;31/10/2003;BBB;BBB
2872;30/06/2000;28/11/2003;GUS;GUS
2873;30/06/2002;28/11/2003;GUS;GUS
2874;30/06/2002;31/10/2003;BBB;BBB
2875;30/06/2002;28/11/2003;GUS;GUS
2876;31/12/1999;28/11/2003;GUS;GUS
2881;30/06/2001;31/10/2003;BBB;BBB
2882;30/06/2000;31/10/2003;BBB;BBB
3159;31/12/1999;30/03/2008;SUT;SUT
3159;31/03/2008;30/04/2012;SUT;SUT
3159;01/05/2012;31/05/2012;SUT;SUT
3159;01/06/2012;30/06/2012;SUT;SUT
3159;31/12/1999;30/03/2008;SUT;SUT
3159;31/03/2008;30/04/2012;SUT;SUT
3159;01/05/2012;31/05/2012;SUT;SUT
3159;01/06/2012;30/06/2012;SUT;SUT
3159;31/12/1999;30/03/2008;SUT;SUT
